E:\Self_Driving_Car_Project\Data\IMG\center_2021_11_15_18_35_09_241.jpg,E:\Self_Driving_Car_Project\Data\IMG\left_2021_11_15_18_35_09_241.jpg,E:\Self_Driving_Car_Project\Data\IMG\right_2021_11_15_18_35_09_241.jpg,0,0,0,1.549889E-05
E:\Self_Driving_Car_Project\Data\IMG\center_2021_11_15_18_35_09_323.jpg,E:\Self_Driving_Car_Project\Data\IMG\left_2021_11_15_18_35_09_323.jpg,E:\Self_Driving_Car_Project\Data\IMG\right_2021_11_15_18_35_09_323.jpg,0,0,0,1.972784E-05
E:\Self_Driving_Car_Project\Data\IMG\center_2021_11_15_18_35_09_401.jpg,E:\Self_Driving_Car_Project\Data\IMG\left_2021_11_15_18_35_09_401.jpg,E:\Self_Driving_Car_Project\Data\IMG\right_2021_11_15_18_35_09_401.jpg,0,0,0,2.6393E-06
E:\Self_Driving_Car_Project\Data\IMG\center_2021_11_15_18_35_09_479.jpg,E:\Self_Driving_Car_Project\Data\IMG\left_2021_11_15_18_35_09_479.jpg,E:\Self_Driving_Car_Project\Data\IMG\right_2021_11_15_18_35_09_479.jpg,0,0,0,3.926123E-06
E:\Self_Driving_Car_Project\Data\IMG\center_2021_11_15_18_35_09_559.jpg,E:\Self_Driving_Car_Project\Data\IMG\left_2021_11_15_18_35_09_559.jpg,E:\Self_Driving_Car_Project\Data\IMG\right_2021_11_15_18_35_09_559.jpg,0,0,0,2.853903E-05
E:\Self_Driving_Car_Project\Data\IMG\center_2021_11_15_18_35_09_638.jpg,E:\Self_Driving_Car_Project\Data\IMG\left_2021_11_15_18_35_09_638.jpg,E:\Self_Driving_Car_Project\Data\IMG\right_2021_11_15_18_35_09_638.jpg,0,0,0,3.177122E-06
E:\Self_Driving_Car_Project\Data\IMG\center_2021_11_15_18_35_09_718.jpg,E:\Self_Driving_Car_Project\Data\IMG\left_2021_11_15_18_35_09_718.jpg,E:\Self_Driving_Car_Project\Data\IMG\right_2021_11_15_18_35_09_718.jpg,0,0,0,1.124395E-05
E:\Self_Driving_Car_Project\Data\IMG\center_2021_11_15_18_35_09_797.jpg,E:\Self_Driving_Car_Project\Data\IMG\left_2021_11_15_18_35_09_797.jpg,E:\Self_Driving_Car_Project\Data\IMG\right_2021_11_15_18_35_09_797.jpg,0,0,0,6.107212E-06
E:\Self_Driving_Car_Project\Data\IMG\center_2021_11_15_18_35_09_876.jpg,E:\Self_Driving_Car_Project\Data\IMG\left_2021_11_15_18_35_09_876.jpg,E:\Self_Driving_Car_Project\Data\IMG\right_2021_11_15_18_35_09_876.jpg,0,0,0,1.377165E-05
E:\Self_Driving_Car_Project\Data\IMG\center_2021_11_15_18_35_09_954.jpg,E:\Self_Driving_Car_Project\Data\IMG\left_2021_11_15_18_35_09_954.jpg,E:\Self_Driving_Car_Project\Data\IMG\right_2021_11_15_18_35_09_954.jpg,0,0,0,3.72504E-05
